                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3897,                 1.7496,                 1.3611,                0.84411,                0.84748,                0.90569,                0.51162,                 1.4846,                0.74774,                 1.1385,               0.070122,              0.0033197,              0.0033197
                      1,                 1.1111,                 0.7185,                 1.1929,                0.96999,                0.96047,                0.98328,                0.73367,                0.90826,                0.53732,                0.98361,               0.040072,              0.0066024,              0.0066024
                      2,                 1.1399,                0.75206,                 1.2221,                0.84857,                0.71276,                0.87187,                0.62809,                0.98529,                 1.4978,                 1.0709,              0.0099703,              0.0098343,              0.0098343
                      3,                 1.1616,                  0.771,                 1.2507,                 0.9646,                0.96653,                0.98673,                0.75765,                  0.844,                0.56868,                 1.0206,              0.0097715,              0.0097715,              0.0097715
                      4,                 1.0878,                0.68697,                 1.2049,                 0.9826,                0.99079,                0.99138,                0.77271,                0.78647,                0.46553,                0.97777,              0.0097715,              0.0097715,              0.0097715
                      5,                 1.0256,                0.62798,                 1.1813,                0.98858,                0.97558,                0.99403,                 0.7868,                0.78117,                0.42599,                0.97357,              0.0096954,              0.0096954,              0.0096954
                      6,                 0.9846,                0.59767,                 1.1603,                0.40242,                0.26071,                0.20468,                0.08049,                 2.8857,                 4.4523,                 2.6735,              0.0096192,              0.0096192,              0.0096192
                      7,                0.95413,                0.56446,                 1.1432,                0.99307,                0.99421,                0.99454,                0.80548,                0.70206,                0.38799,                0.94015,              0.0095431,              0.0095431,              0.0095431
                      8,                0.92531,                0.54443,                 1.1246,                0.30836,                0.02145,                0.01581,                0.00616,                  3.541,                 6.7808,                 3.6167,              0.0094669,              0.0094669,              0.0094669
                      9,                0.90785,                0.52879,                 1.1204,                0.99674,                0.99337,                0.99457,                0.82993,                0.69424,                0.35161,                0.94867,              0.0093908,              0.0093908,              0.0093908
                     10,                0.88759,                 0.5166,                 1.1063,                 0.9911,                 0.9928,                0.99391,                0.83295,                0.67789,                0.35087,                0.93676,              0.0093146,              0.0093146,              0.0093146
                     11,                0.87171,                0.50339,                 1.0978,                0.96484,                0.94323,                0.96714,                0.71774,                0.89691,                0.47128,                0.99866,              0.0092385,              0.0092385,              0.0092385
                     12,                0.85477,                0.48651,                 1.0911,                0.99672,                0.99341,                0.99495,                0.84814,                0.63742,                0.32339,                0.92283,              0.0091623,              0.0091623,              0.0091623
                     13,                0.84087,                0.48053,                 1.0833,                0.99768,                0.99444,                0.99499,                0.84648,                0.62474,                0.31479,                0.90806,              0.0090862,              0.0090862,              0.0090862
                     14,                0.82909,                0.47274,                 1.0769,                0.99825,                0.99512,                  0.995,                  0.859,                0.60005,                0.30823,                0.90327,                0.00901,                0.00901,                0.00901
                     15,                0.82006,                0.46724,                 1.0783,                0.99576,                0.99493,                0.99488,                0.83336,                 0.7179,                0.33336,                0.93229,              0.0089338,              0.0089338,              0.0089338
                     16,                0.80741,                0.45845,                 1.0739,                0.99767,                0.99512,                0.99498,                0.85293,                0.57889,                0.34994,                0.89559,              0.0088577,              0.0088577,              0.0088577
                     17,                 0.7952,                 0.4501,                 1.0602,                0.99321,                0.98975,                0.99483,                0.84724,                0.62016,                0.31656,                0.90903,              0.0087815,              0.0087815,              0.0087815
                     18,                 0.7957,                0.45076,                  1.061,                0.99782,                0.99493,                0.99498,                0.86392,                0.59081,                0.28492,                0.88544,              0.0087054,              0.0087054,              0.0087054
                     19,                0.78928,                 0.4388,                 1.0574,                0.99756,                0.99475,                 0.9949,                0.84323,                0.67383,                0.29947,                0.91334,              0.0086292,              0.0086292,              0.0086292
                     20,                0.77925,                0.43565,                 1.0549,                0.99474,                0.99464,                0.99481,                 0.8556,                0.58081,                0.29214,                0.89099,              0.0085531,              0.0085531,              0.0085531
                     21,                0.77151,                0.42899,                 1.0487,                0.99709,                 0.9948,                0.99498,                0.88336,                0.51432,                0.26521,                0.88264,              0.0084769,              0.0084769,              0.0084769
                     22,                0.76332,                0.42355,                 1.0436,                 0.9958,                0.99512,                0.99495,                0.88744,                0.51696,                0.26226,                0.88511,              0.0084008,              0.0084008,              0.0084008
                     23,                0.76015,                0.41938,                  1.047,                0.99957,                0.99341,                0.99498,                0.87587,                0.54467,                0.25827,                0.88154,              0.0083246,              0.0083246,              0.0083246
                     24,                0.75721,                0.42008,                 1.0412,                0.99908,                0.99512,                  0.995,                0.88792,                0.53198,                0.25507,                0.87232,              0.0082485,              0.0082485,              0.0082485
                     25,                0.75149,                0.41493,                 1.0436,                0.99767,                0.99512,                  0.995,                0.88764,                0.52872,                 0.2566,                0.88152,              0.0081723,              0.0081723,              0.0081723
                     26,                0.74031,                0.40836,                 1.0366,                 0.9965,                0.99512,                  0.995,                0.88884,                 0.5209,                0.25439,                0.89047,              0.0080962,              0.0080962,              0.0080962
                     27,                0.74059,                0.40778,                 1.0349,                 0.9977,                0.99512,                0.99486,                0.89363,                 0.5072,                 0.2478,                0.87661,                0.00802,                0.00802,                0.00802
                     28,                 0.7346,                0.40425,                 1.0292,                 0.9979,                0.99498,                  0.995,                0.89235,                0.51084,                0.24813,                0.87422,              0.0079438,              0.0079438,              0.0079438
                     29,                0.73359,                0.40429,                 1.0347,                0.99626,                0.99512,                0.99493,                0.89462,                0.50215,                0.24348,                0.88241,              0.0078677,              0.0078677,              0.0078677
                     30,                0.72475,                0.39778,                 1.0282,                0.99739,                0.99512,                  0.995,                0.89118,                0.51409,                0.24103,                0.86893,              0.0077915,              0.0077915,              0.0077915
                     31,                0.72375,                0.39602,                 1.0272,                 0.9954,                0.99512,                  0.995,                0.89703,                0.49142,                0.23911,                0.86898,              0.0077154,              0.0077154,              0.0077154
                     32,                0.72059,                0.39899,                 1.0312,                0.99896,                0.99492,                  0.995,                0.90446,                0.48809,                 0.2374,                0.88107,              0.0076392,              0.0076392,              0.0076392
                     33,                0.71572,                0.39672,                 1.0349,                0.99865,                0.99512,                  0.995,                0.89958,                0.49051,                0.23525,                0.88204,              0.0075631,              0.0075631,              0.0075631
                     34,                 0.7127,                 0.3959,                 1.0307,                0.99966,                0.99512,                  0.995,                0.90304,                0.49542,                0.23024,                0.87917,              0.0074869,              0.0074869,              0.0074869
                     35,                0.70978,                 0.3883,                 1.0278,                0.99852,                0.99512,                  0.995,                0.90465,                0.48719,                0.23076,                 0.8735,              0.0074108,              0.0074108,              0.0074108
                     36,                0.70727,                0.38879,                 1.0237,                0.99854,                0.99512,                  0.995,                0.90385,                0.49064,                0.23181,                0.86933,              0.0073346,              0.0073346,              0.0073346
                     37,                0.70555,                0.38471,                 1.0225,                 0.9979,                0.99507,                0.99498,                0.90761,                 0.4782,                0.22634,                0.86588,              0.0072585,              0.0072585,              0.0072585
                     38,                0.69604,                0.38062,                 1.0205,                0.99806,                0.99512,                  0.995,                0.91032,                0.47405,                0.22227,                0.86841,              0.0071823,              0.0071823,              0.0071823
                     39,                0.69927,                0.38147,                 1.0237,                0.99869,                0.99512,                  0.995,                0.90675,                0.47577,                0.22308,                0.86602,              0.0071062,              0.0071062,              0.0071062
                     40,                0.69724,                0.38129,                 1.0166,                0.99773,                0.99487,                  0.995,                0.90601,                0.48921,                0.22308,                0.86442,                0.00703,                0.00703,                0.00703
                     41,                0.68644,                0.37319,                 1.0109,                0.99875,                0.99512,                  0.995,                0.90648,                0.48015,                0.21928,                0.86498,              0.0069538,              0.0069538,              0.0069538
                     42,                0.68207,                0.37296,                 1.0055,                0.99707,                0.99474,                0.99498,                0.90881,                0.46783,                0.21503,                0.85974,              0.0068777,              0.0068777,              0.0068777
                     43,                0.68512,                0.37521,                 1.0096,                0.99801,                0.99512,                  0.995,                 0.9117,                0.46337,                0.21432,                 0.8574,              0.0068015,              0.0068015,              0.0068015
                     44,                0.68474,                0.37402,                 1.0121,                0.99819,                0.99489,                  0.995,                0.91108,                0.46452,                0.21279,                 0.8572,              0.0067254,              0.0067254,              0.0067254
                     45,                0.67451,                0.36511,                0.99973,                0.99792,                0.99512,                  0.995,                0.91143,                0.45809,                 0.2095,                0.85322,              0.0066492,              0.0066492,              0.0066492
                     46,                0.67233,                0.36505,                 1.0012,                  0.998,                0.99512,                  0.995,                0.91335,                0.45626,                0.20883,                0.85381,              0.0065731,              0.0065731,              0.0065731
                     47,                0.67268,                0.36642,                  1.006,                0.99783,                0.99512,                  0.995,                0.91181,                0.46107,                0.20904,                0.85617,              0.0064969,              0.0064969,              0.0064969
                     48,                0.66841,                0.36187,                 1.0059,                0.99786,                0.99512,                  0.995,                0.91348,                0.45612,                0.20789,                0.85564,              0.0064208,              0.0064208,              0.0064208
                     49,                0.66987,                0.36306,                 1.0087,                0.99739,                0.99512,                  0.995,                0.91301,                0.45792,                0.20847,                 0.8577,              0.0063446,              0.0063446,              0.0063446
                     50,                0.66186,                0.35539,                 1.0012,                0.99721,                0.99463,                  0.995,                0.91483,                0.45352,                0.20616,                 0.8568,              0.0062685,              0.0062685,              0.0062685
                     51,                0.66271,                 0.3565,                 1.0023,                0.99647,                0.99495,                  0.995,                0.91549,                0.45191,                0.20305,                0.85554,              0.0061923,              0.0061923,              0.0061923
                     52,                 0.6597,                0.35606,                 1.0021,                0.99715,                0.99496,                0.99498,                0.91461,                0.45251,                0.20352,                0.85628,              0.0061162,              0.0061162,              0.0061162
                     53,                0.65761,                0.35244,                 1.0037,                0.99659,                0.99375,                0.99498,                0.91417,                 0.4528,                 0.2047,                0.85721,                0.00604,                0.00604,                0.00604
                     54,                0.65506,                 0.3575,                0.99857,                0.99636,                0.99512,                0.99497,                0.91428,                0.45439,                0.20446,                0.85675,              0.0059638,              0.0059638,              0.0059638
                     55,                0.64795,                0.35348,                 0.9993,                0.99589,                0.99512,                0.99498,                0.91418,                0.45251,                0.20166,                0.85682,              0.0058877,              0.0058877,              0.0058877
                     56,                0.64785,                0.35048,                0.99745,                0.99617,                0.99512,                0.99498,                0.91372,                0.45249,                0.20053,                0.85631,              0.0058115,              0.0058115,              0.0058115
                     57,                0.64784,                0.34801,                0.99339,                0.99627,                0.99512,                0.99498,                0.91431,                0.44865,                0.19916,                0.85616,              0.0057354,              0.0057354,              0.0057354
                     58,                0.64079,                0.34723,                  0.995,                0.99627,                0.99512,                0.99498,                0.91567,                0.44667,                0.19965,                0.85645,              0.0056592,              0.0056592,              0.0056592
                     59,                0.63661,                0.34455,                0.99432,                0.99618,                0.99511,                0.99498,                0.91603,                0.44768,                0.19749,                0.85729,              0.0055831,              0.0055831,              0.0055831
                     60,                 0.6365,                0.34414,                0.99301,                  0.996,                0.99512,                0.99498,                0.91612,                0.44676,                0.19796,                0.85763,              0.0055069,              0.0055069,              0.0055069
                     61,                0.63869,                0.34399,                  0.985,                0.99761,                0.99512,                  0.995,                0.91678,                 0.4449,                0.19669,                0.85428,              0.0054308,              0.0054308,              0.0054308
                     62,                 0.6311,                0.33998,                 0.9825,                0.99608,                0.99512,                  0.995,                0.91585,                0.44466,                 0.1949,                0.85311,              0.0053546,              0.0053546,              0.0053546
                     63,                0.62913,                 0.3388,                0.98321,                 0.9961,                0.99512,                0.99498,                0.91539,                0.44593,                0.19467,                0.85306,              0.0052785,              0.0052785,              0.0052785
                     64,                0.62808,                0.33674,                0.98393,                0.99614,                0.99512,                0.99498,                0.91674,                0.44586,                0.19435,                 0.8528,              0.0052023,              0.0052023,              0.0052023
