                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1482,                 1.6063,                 1.2674,                0.97322,                0.97645,                0.99217,                0.80856,                0.64848,                0.38529,                0.96404,              0.0033231,              0.0033231,              0.0033231
                      1,                 1.0494,                0.75357,                 1.1903,                0.68581,                0.69185,                0.72061,                0.55515,                0.79192,                 1.4455,                 1.0229,              0.0066058,              0.0066058,              0.0066058
                      2,                 1.1028,                0.80098,                  1.227,                0.84246,                0.81977,                 0.8605,                0.57752,                  1.026,                0.96894,                 1.1771,              0.0098377,              0.0098377,              0.0098377
                      3,                  1.108,                0.80504,                  1.239,                0.97403,                0.98518,                0.99296,                0.77708,                0.73805,                0.47513,                 1.0319,              0.0097715,              0.0097715,              0.0097715
                      4,                 1.0414,                0.71719,                 1.2062,                 0.9756,                0.99117,                0.99348,                0.79537,                0.69052,                0.48443,                0.99188,              0.0097715,              0.0097715,              0.0097715
                      5,                0.99963,                0.66071,                 1.1803,                0.99069,                0.99173,                0.99487,                0.81373,                0.67582,                0.38654,                0.98218,              0.0096954,              0.0096954,              0.0096954
                      6,                0.95595,                0.62366,                 1.1626,                0.99249,                0.99281,                0.99458,                   0.83,                0.64647,                0.36272,                0.97056,              0.0096192,              0.0096192,              0.0096192
                      7,                0.92289,                0.59062,                 1.1402,                0.99131,                0.98893,                 0.9945,                0.83976,                0.61065,                0.36408,                0.94977,              0.0095431,              0.0095431,              0.0095431
                      8,                0.89642,                0.57571,                 1.1281,                0.98969,                0.99556,                 0.9947,                0.85621,                0.58742,                0.33151,                0.94142,              0.0094669,              0.0094669,              0.0094669
                      9,                0.87284,                0.55348,                 1.1177,                0.98975,                0.99205,                0.99466,                0.86218,                0.57134,                0.33159,                0.93015,              0.0093908,              0.0093908,              0.0093908
                     10,                0.85455,                0.53217,                 1.1074,                0.99507,                0.99541,                0.99488,                0.86257,                0.56523,                0.30885,                0.93086,              0.0093146,              0.0093146,              0.0093146
                     11,                0.84119,                0.52806,                 1.0947,                0.98684,                0.99193,                0.99441,                0.83318,                    0.6,                0.34136,                0.93462,              0.0092385,              0.0092385,              0.0092385
                     12,                0.82712,                0.51202,                 1.0933,                0.99149,                0.98878,                0.99467,                0.86955,                0.54098,                0.30672,                 0.9219,              0.0091623,              0.0091623,              0.0091623
                     13,                0.80781,                0.50142,                 1.0834,                0.99481,                0.99561,                 0.9948,                0.87158,                0.53563,                0.28487,                0.92465,              0.0090862,              0.0090862,              0.0090862
                     14,                0.80592,                0.49347,                 1.0862,                0.99407,                0.99143,                0.99487,                0.88014,                0.52675,                0.28119,                0.92384,                0.00901,                0.00901,                0.00901
                     15,                0.79256,                 0.4854,                  1.079,                 0.9937,                0.99289,                 0.9948,                0.87993,                0.51961,                0.28187,                  0.911,              0.0089338,              0.0089338,              0.0089338
                     16,                0.77995,                0.47791,                 1.0657,                0.99155,                0.99376,                0.99484,                0.88598,                0.50594,                0.27302,                0.90601,              0.0088577,              0.0088577,              0.0088577
                     17,                 0.7692,                0.47005,                 1.0621,                0.98826,                0.99601,                0.99471,                0.88532,                0.50303,                0.27204,                 0.9042,              0.0087815,              0.0087815,              0.0087815
                     18,                0.76566,                0.46703,                 1.0632,                0.99457,                0.99619,                0.99486,                0.89031,                 0.4998,                0.25972,                0.90434,              0.0087054,              0.0087054,              0.0087054
                     19,                0.76021,                0.46077,                 1.0612,                0.99363,                0.99327,                 0.9949,                0.89216,                0.48359,                0.25673,                0.90103,              0.0086292,              0.0086292,              0.0086292
                     20,                0.75066,                0.45598,                 1.0589,                0.99473,                 0.9916,                0.99491,                0.89915,                0.48115,                0.25152,                0.89842,              0.0085531,              0.0085531,              0.0085531
                     21,                0.74459,                0.45048,                   1.05,                0.99526,                0.99592,                0.99492,                  0.901,                0.47457,                0.24999,                 0.8984,              0.0084769,              0.0084769,              0.0084769
                     22,                0.74378,                 0.4469,                   1.05,                0.99278,                0.99635,                0.99493,                0.89839,                0.47428,                0.24398,                0.88632,              0.0084008,              0.0084008,              0.0084008
                     23,                 0.7347,                0.43924,                 1.0423,                 0.9953,                0.99635,                 0.9949,                0.90258,                0.47159,                0.23967,                0.89424,              0.0083246,              0.0083246,              0.0083246
                     24,                0.73157,                0.43243,                 1.0469,                0.99609,                0.99584,                0.99496,                0.90401,                0.46821,                0.23588,                0.89354,              0.0082485,              0.0082485,              0.0082485
                     25,                0.72999,                0.43175,                 1.0463,                0.99564,                0.99529,                0.99489,                0.90636,                 0.4599,                0.22946,                0.88948,              0.0081723,              0.0081723,              0.0081723
                     26,                0.72182,                0.43009,                 1.0427,                0.99571,                0.99441,                0.99499,                0.90563,                0.45867,                0.22991,                0.88681,              0.0080962,              0.0080962,              0.0080962
                     27,                0.71304,                0.42515,                  1.035,                0.99449,                0.99599,                0.99495,                 0.9075,                0.45555,                0.22737,                0.88121,                0.00802,                0.00802,                0.00802
                     28,                0.70664,                0.42042,                 1.0344,                0.99612,                0.99555,                0.99487,                0.90777,                0.45634,                0.22285,                0.88791,              0.0079438,              0.0079438,              0.0079438
                     29,                0.70331,                0.42061,                 1.0339,                 0.9944,                0.99561,                 0.9949,                0.90951,                0.45014,                0.22448,                0.88353,              0.0078677,              0.0078677,              0.0078677
                     30,                0.69745,                0.41638,                  1.025,                0.99573,                0.99581,                0.99491,                0.91259,                0.44801,                0.22011,                0.87719,              0.0077915,              0.0077915,              0.0077915
                     31,                0.69435,                0.40966,                 1.0264,                 0.9953,                0.99549,                0.99493,                0.91322,                0.44717,                0.21738,                0.87833,              0.0077154,              0.0077154,              0.0077154
                     32,                   0.69,                0.41409,                 1.0266,                0.99426,                0.99467,                0.99494,                0.91078,                0.44688,                0.21487,                0.88018,              0.0076392,              0.0076392,              0.0076392
                     33,                0.68752,                 0.4081,                  1.023,                0.99491,                0.99509,                0.99495,                0.91126,                0.44421,                0.21506,                0.87833,              0.0075631,              0.0075631,              0.0075631
                     34,                0.68707,                0.40848,                 1.0222,                0.99525,                0.99543,                0.99498,                0.91204,                0.44119,                0.21187,                0.87898,              0.0074869,              0.0074869,              0.0074869
                     35,                0.67901,                0.40055,                 1.0168,                0.99537,                0.99521,                0.99494,                 0.9156,                0.43776,                0.21037,                0.87686,              0.0074108,              0.0074108,              0.0074108
                     36,                0.67797,                0.40094,                 1.0168,                0.99693,                0.99505,                0.99496,                0.91547,                0.43564,                0.20845,                0.87658,              0.0073346,              0.0073346,              0.0073346
